Travelling Companion,Continent,Country,Year,Percentage
ALONE,Asia,Saudi Arabia,2016,3.34076
WITH SPOUSE,Asia,Saudi Arabia,2016,53.8976
WITH CHILDREN,Asia,Saudi Arabia,2016,0.445434
WITH FAMILY/RELATIVES,Asia,Saudi Arabia,2016,36.5256
STUDENT GROUP,Asia,Saudi Arabia,2016,0.222717
WITH FRIENDS,Asia,Saudi Arabia,2016,4.67706
WITH BUSINESS ASSOCIATE,Asia,Saudi Arabia,2016,0.890869
WITH INCENTIVE GROUP,Asia,Saudi Arabia,2016,0
OTHERS,Asia,Saudi Arabia,2016,0
ALONE,Asia,Saudi Arabia,2017,3.11111
WITH SPOUSE,Asia,Saudi Arabia,2017,48.4444
WITH CHILDREN,Asia,Saudi Arabia,2017,0.444444
WITH FAMILY/RELATIVES,Asia,Saudi Arabia,2017,43.5556
STUDENT GROUP,Asia,Saudi Arabia,2017,0
WITH FRIENDS,Asia,Saudi Arabia,2017,4
WITH BUSINESS ASSOCIATE,Asia,Saudi Arabia,2017,0.444444
WITH INCENTIVE GROUP,Asia,Saudi Arabia,2017,0
OTHERS,Asia,Saudi Arabia,2017,0
ALONE,Asia,United Arab Emirates,2016,11.6279
WITH SPOUSE,Asia,United Arab Emirates,2016,51.1628
WITH CHILDREN,Asia,United Arab Emirates,2016,4.65116
WITH FAMILY/RELATIVES,Asia,United Arab Emirates,2016,20.9302
STUDENT GROUP,Asia,United Arab Emirates,2016,0
WITH FRIENDS,Asia,United Arab Emirates,2016,6.97674
WITH BUSINESS ASSOCIATE,Asia,United Arab Emirates,2016,4.65116
WITH INCENTIVE GROUP,Asia,United Arab Emirates,2016,0
OTHERS,Asia,United Arab Emirates,2016,0
ALONE,Asia,United Arab Emirates,2017,4.25532
WITH SPOUSE,Asia,United Arab Emirates,2017,14.8936
WITH CHILDREN,Asia,United Arab Emirates,2017,0
WITH FAMILY/RELATIVES,Asia,United Arab Emirates,2017,61.7021
STUDENT GROUP,Asia,United Arab Emirates,2017,0
WITH FRIENDS,Asia,United Arab Emirates,2017,10.6383
WITH BUSINESS ASSOCIATE,Asia,United Arab Emirates,2017,0
WITH INCENTIVE GROUP,Asia,United Arab Emirates,2017,0
OTHERS,Asia,United Arab Emirates,2017,8.51064
ALONE,Asia,Oman,2016,11.2903
WITH SPOUSE,Asia,Oman,2016,35.4839
WITH CHILDREN,Asia,Oman,2016,1.6129
WITH FAMILY/RELATIVES,Asia,Oman,2016,50
STUDENT GROUP,Asia,Oman,2016,0
WITH FRIENDS,Asia,Oman,2016,0
WITH BUSINESS ASSOCIATE,Asia,Oman,2016,1.6129
WITH INCENTIVE GROUP,Asia,Oman,2016,0
OTHERS,Asia,Oman,2016,0
ALONE,Asia,Oman,2017,0.877193
WITH SPOUSE,Asia,Oman,2017,33.3333
WITH CHILDREN,Asia,Oman,2017,0
WITH FAMILY/RELATIVES,Asia,Oman,2017,52.6316
STUDENT GROUP,Asia,Oman,2017,0.877193
WITH FRIENDS,Asia,Oman,2017,12.2807
WITH BUSINESS ASSOCIATE,Asia,Oman,2017,0
WITH INCENTIVE GROUP,Asia,Oman,2017,0
OTHERS,Asia,Oman,2017,0
ALONE,Asia,Kuwait,2016,0
WITH SPOUSE,Asia,Kuwait,2016,75
WITH CHILDREN,Asia,Kuwait,2016,0
WITH FAMILY/RELATIVES,Asia,Kuwait,2016,25
STUDENT GROUP,Asia,Kuwait,2016,0
WITH FRIENDS,Asia,Kuwait,2016,0
WITH BUSINESS ASSOCIATE,Asia,Kuwait,2016,0
WITH INCENTIVE GROUP,Asia,Kuwait,2016,0
OTHERS,Asia,Kuwait,2016,0
ALONE,Asia,Kuwait,2017,3.7037
WITH SPOUSE,Asia,Kuwait,2017,14.8148
WITH CHILDREN,Asia,Kuwait,2017,0
WITH FAMILY/RELATIVES,Asia,Kuwait,2017,81.4815
STUDENT GROUP,Asia,Kuwait,2017,0
WITH FRIENDS,Asia,Kuwait,2017,0
WITH BUSINESS ASSOCIATE,Asia,Kuwait,2017,0
WITH INCENTIVE GROUP,Asia,Kuwait,2017,0
OTHERS,Asia,Kuwait,2017,0
ALONE,Asia,Iran,2016,3.47072
WITH SPOUSE,Asia,Iran,2016,18.872
WITH CHILDREN,Asia,Iran,2016,0.21692
WITH FAMILY/RELATIVES,Asia,Iran,2016,60.5206
STUDENT GROUP,Asia,Iran,2016,0
WITH FRIENDS,Asia,Iran,2016,15.1844
WITH BUSINESS ASSOCIATE,Asia,Iran,2016,0.867679
WITH INCENTIVE GROUP,Asia,Iran,2016,0.650759
OTHERS,Asia,Iran,2016,0.21692
ALONE,Asia,Iran,2017,1.40724
WITH SPOUSE,Asia,Iran,2017,22.0881
WITH CHILDREN,Asia,Iran,2017,0.703621
WITH FAMILY/RELATIVES,Asia,Iran,2017,63.8395
STUDENT GROUP,Asia,Iran,2017,0
WITH FRIENDS,Asia,Iran,2017,9.85069
WITH BUSINESS ASSOCIATE,Asia,Iran,2017,1.40724
WITH INCENTIVE GROUP,Asia,Iran,2017,0.351811
OTHERS,Asia,Iran,2017,0.351811
ALONE,North America,Canada,2016,27.6018
WITH SPOUSE,North America,Canada,2016,38.6878
WITH CHILDREN,North America,Canada,2016,1.13122
WITH FAMILY/RELATIVES,North America,Canada,2016,7.46606
STUDENT GROUP,North America,Canada,2016,0
WITH FRIENDS,North America,Canada,2016,24.2081
